,Details
190,"Mieszkanie, Poznań, Naramowice, 50 m²Stan: Innyzakończona20 December 2024 o godzinie 16:56:20531 000,00złZobacz aktualne oferty"
191,"Mieszkanie, Poznań, Rataje, 48 m²Stan: Innyzakończona20 December 2024 o godzinie 16:56:17469 999,00złZobacz aktualne oferty"
192,"Mieszkanie, Poznań, Grunwald, 58 m²Stan: Innyzakończona20 December 2024 o godzinie 16:56:11719 999,00złZobacz aktualne oferty"
193,"Mieszkanie, Poznań, Podolany, 63 m²Stan: Innyzakończona20 December 2024 o godzinie 16:56:07700 000,00złZobacz aktualne oferty"
194,"Mieszkanie, Poznań, Rataje, 60 m²Stan: Innyzakończona20 December 2024 o godzinie 16:56:04684 000,00złZobacz aktualne oferty"
195,"Mieszkanie, Poznań, Podolany, 37 m²Stan: Innyzakończona20 December 2024 o godzinie 16:55:58413 600,00złZobacz aktualne oferty"
196,"Mieszkanie, Poznań, Winogrady, 26 m²Stan: Innyzakończona20 December 2024 o godzinie 16:55:56364 500,00złZobacz aktualne oferty"
197,"Mieszkanie, Poznań, Jeżyce, 40 m²Stan: Innyzakończona20 December 2024 o godzinie 16:55:54465 600,00złZobacz aktualne oferty"
198,"Mieszkanie, Poznań, Rataje, 46 m²Stan: Innyzakończona20 December 2024 o godzinie 16:55:53549 999,00złZobacz aktualne oferty"
199,"Mieszkanie, Poznań, Winiary, 53 m²Stan: Innyzakończona20 December 2024 o godzinie 16:55:25569 000,00złZobacz aktualne oferty"
200,"Dom, Poznań, Jeżyce, 390 m²Stan: Innyzakończona20 December 2024 o godzinie 14:59:201 500 000,00złZobacz aktualne oferty"
201,"Mieszkanie, Poznań, Grunwald, 60 m²Stan: Innyzakończona20 December 2024 o godzinie 14:45:38659 000,00złZobacz aktualne oferty"
202,"Mieszkanie, Poznań, Chartowo, 33 m²Stan: Innyzakończona20 December 2024 o godzinie 14:44:34390 000,00złZobacz aktualne oferty"
203,"Dom, Poznań, 280 m²Stan: Innyzakończona20 December 2024 o godzinie 13:54:211 690 000,00złZobacz aktualne oferty"
204,"Działka, Poznań, Kiekrz, 948 m²Stan: Innyzakończona20 December 2024 o godzinie 13:02:59840 000,00złZobacz aktualne oferty"
205,"Działka, Poznań, Jeżyce, 948 m²Stan: Innyzakończona20 December 2024 o godzinie 12:47:33840 000,00złZobacz aktualne oferty"
206,"Mieszkanie, Poznań, Stare Miasto, 74 m²Stan: Innyzakończona20 December 2024 o godzinie 12:28:25690 000,00złZobacz aktualne oferty"
207,"Magazyny i hale, Poznań, Górczyn, 45 m²Stan: Innyzakończona20 December 2024 o godzinie 12:27:531666,00złZobacz aktualne oferty"
208,"Mieszkanie, Poznań, Jeżyce, 75 m²Stan: Innyzakończona20 December 2024 o godzinie 12:27:202200,00złZobacz aktualne oferty"
209,"Mieszkanie, Poznań, Junikowo, 58 m²Stan: Innyzakończona20 December 2024 o godzinie 12:13:13723 000,00złZobacz aktualne oferty"
210,"Mieszkanie, Poznań, Junikowo, 58 m²Stan: Innyzakończona20 December 2024 o godzinie 12:13:12726 125,00złZobacz aktualne oferty"
211,"Mieszkanie, Poznań, Junikowo, 58 m²Stan: Innyzakończona20 December 2024 o godzinie 12:13:09727 500,00złZobacz aktualne oferty"
212,"Mieszkanie, Poznań, Junikowo, 54 m²Stan: Innyzakończona20 December 2024 o godzinie 12:13:07759 578,00złZobacz aktualne oferty"
213,"Mieszkanie, Poznań, Junikowo, 68 m²Stan: Innyzakończona20 December 2024 o godzinie 12:13:04868 275,00złZobacz aktualne oferty"
214,"Mieszkanie, Poznań, Junikowo, 58 m²Stan: Innyzakończona20 December 2024 o godzinie 12:13:03728 875,00złZobacz aktualne oferty"
215,"Mieszkanie, Poznań, Junikowo, 42 m²Stan: Innyzakończona20 December 2024 o godzinie 12:13:01584 645,00złZobacz aktualne oferty"
216,"Mieszkanie, Poznań, Junikowo, 57 m²Stan: Innyzakończona20 December 2024 o godzinie 12:13:00709 250,00złZobacz aktualne oferty"
217,"Mieszkanie, Poznań, Jeżyce, 99 m²Stan: Innyzakończona20 December 2024 o godzinie 11:58:431 099 000,00złZobacz aktualne oferty"
218,"Garaż, Poznań, Winogrady, 14 m²Stan: Innyzakończona20 December 2024 o godzinie 11:43:5626 000,00złZobacz aktualne oferty"
219,"Mieszkanie, Poznań, 42 m²Stan: Innyzakończona20 December 2024 o godzinie 09:36:27449 000,00złZobacz aktualne oferty"
220,"Mieszkanie, Poznań, Dębiec, 74 m²Stan: Innyzakończona20 December 2024 o godzinie 00:08:13799 000,00złZobacz aktualne oferty"
221,"Dom, Poznań, 109 m²Stan: Innyzakończona19 December 2024 o godzinie 23:27:111 330 000,00złZobacz aktualne oferty"
222,"Mieszkanie, Poznań, Piątkowo, 63 m²Stan: Innyzakończona19 December 2024 o godzinie 22:34:47570 000,00złZobacz aktualne oferty"
223,"Mieszkanie, Poznań, Sołacz, 57 m²Stan: Innyzakończona19 December 2024 o godzinie 20:46:32549 000,00złZobacz aktualne oferty"
224,"Mieszkanie, Poznań, Grunwald, 40 m²Stan: Innyzakończona19 December 2024 o godzinie 19:15:07649 000,00złZobacz aktualne oferty"
225,"Mieszkanie, Poznań, Wilda, 74 m²Stan: Innyzakończona19 December 2024 o godzinie 19:12:011 050 000,00złZobacz aktualne oferty"
226,"Mieszkanie, Poznań, Jeżyce, 34 m²Stan: Innyzakończona19 December 2024 o godzinie 18:38:22455 000,00złZobacz aktualne oferty"
227,"Mieszkanie, Poznań, Piątkowo, 84 m²Stan: Innyzakończona19 December 2024 o godzinie 18:37:00740 000,00złZobacz aktualne oferty"
228,"Mieszkanie, Poznań, Wilda, 74 m²Stan: Innyzakończona19 December 2024 o godzinie 18:19:361 150 000,00złZobacz aktualne oferty"
229,"Magazyny i hale, Poznań, Podolany, 160 m²Stan: Innyzakończona19 December 2024 o godzinie 16:19:123800,00złZobacz aktualne oferty"
230,"Magazyny i hale, Poznań, 790 m²Stan: Innyzakończona19 December 2024 o godzinie 15:23:2024 000,00złZobacz aktualne oferty"
231,"Mieszkanie, Poznań, Grunwald, 19 m²Stan: Innyzakończona19 December 2024 o godzinie 13:39:531500,00złZobacz aktualne oferty"
232,"Mieszkanie, Poznań, Grunwald, 75 m²Stan: Innyzakończona19 December 2024 o godzinie 12:28:433800,00złZobacz aktualne oferty"
233,"Mieszkanie, Poznań, Jeżyce, 110 m²Stan: Innyzakończona19 December 2024 o godzinie 12:28:412 290 000,00złZobacz aktualne oferty"
234,"Mieszkanie, Poznań, Jeżyce, 52 m²Stan: Innyzakończona19 December 2024 o godzinie 11:13:46598 000,00złZobacz aktualne oferty"
235,"Mieszkanie, Poznań, 133 m²Stan: Innyzakończona19 December 2024 o godzinie 10:27:271 390 000,00złZobacz aktualne oferty"
236,"Mieszkanie, Poznań, Nowe Miasto, 57 m²Stan: Innyzakończona19 December 2024 o godzinie 08:48:14685 000,00złZobacz aktualne oferty"
237,"Mieszkanie, Poznań, Winogrady, 105 m²Stan: Innyzakończona19 December 2024 o godzinie 08:48:111 310 000,00złZobacz aktualne oferty"
238,"Mieszkanie, Poznań, Piątkowo, 39 m²Stan: Innyzakończona19 December 2024 o godzinie 07:52:03449 000,00złZobacz aktualne oferty"
239,"Dom, Poznań, Naramowice, 776 m²Stan: Innyzakończona19 December 2024 o godzinie 02:14:451 500 000,00złZobacz aktualne oferty"
240,"Mieszkanie, Poznań, Stare Miasto, 48 m²Stan: Innyzakończona19 December 2024 o godzinie 00:05:00509 000,00złZobacz aktualne oferty"
241,"Mieszkanie, Poznań, 64 m²Stan: Innyzakończona18 December 2024 o godzinie 21:36:05629 000,00złZobacz aktualne oferty"
242,"Mieszkanie, Poznań, Junikowo, 62 m²Stan: Innyzakończona18 December 2024 o godzinie 20:49:44719 000,00złZobacz aktualne oferty"
243,"Dom, Poznań, Grunwald, 160 m²Stan: Innyzakończona18 December 2024 o godzinie 19:50:59885 000,00złZobacz aktualne oferty"
244,"Mieszkanie, Poznań, Stare Miasto, 11 m²Stan: Innyzakończona18 December 2024 o godzinie 18:42:531500,00złZobacz aktualne oferty"
245,"Działka, Poznań, Morasko-Radojewo, 1000 m²Stan: Innyzakończona18 December 2024 o godzinie 18:12:26399 000,00złZobacz aktualne oferty"
246,"Mieszkanie, Poznań, Rataje, 48 m²Stan: Innyzakończona18 December 2024 o godzinie 17:14:09575 000,00złZobacz aktualne oferty"
247,"Mieszkanie, Poznań, Centrum, 21 m²Stan: Innyzakończona18 December 2024 o godzinie 14:19:57375 020,00złZobacz aktualne oferty"
248,"Działka, Poznań, Grunwald, 938 m²Stan: Innyzakończona18 December 2024 o godzinie 12:42:301 550 000,00złZobacz aktualne oferty"
249,"Komercyjne, Poznań, Grunwald, 276 m²Stan: Innyzakończona18 December 2024 o godzinie 12:25:031 550 000,00złZobacz aktualne oferty"
250,"Mieszkanie, Poznań, Naramowice, 28 m²Stan: Innyzakończona18 December 2024 o godzinie 12:24:59315 000,00złZobacz aktualne oferty"
251,"Mieszkanie, Poznań, Rataje, 43 m²Stan: Innyzakończona18 December 2024 o godzinie 11:42:05443 487,00złZobacz aktualne oferty"
252,"Mieszkanie, Poznań, Rataje, 47 m²Stan: Innyzakończona18 December 2024 o godzinie 11:41:59460 634,00złZobacz aktualne oferty"
253,"Mieszkanie, Poznań, Rataje, 39 m²Stan: Innyzakończona18 December 2024 o godzinie 11:41:59420 996,00złZobacz aktualne oferty"
254,"Mieszkanie, Poznań, Rataje, 56 m²Stan: Innyzakończona18 December 2024 o godzinie 11:41:53550 580,00złZobacz aktualne oferty"
255,"Mieszkanie, Poznań, Rataje, 55 m²Stan: Innyzakończona18 December 2024 o godzinie 11:41:53536 444,00złZobacz aktualne oferty"
256,"Mieszkanie, Poznań, Rataje, 42 m²Stan: Innyzakończona18 December 2024 o godzinie 11:41:52433 974,00złZobacz aktualne oferty"
257,"Mieszkanie, Poznań, Rataje, 52 m²Stan: Innyzakończona18 December 2024 o godzinie 11:41:52502 703,00złZobacz aktualne oferty"
258,"Mieszkanie, Poznań, Rataje, 42 m²Stan: Innyzakończona18 December 2024 o godzinie 11:41:52437 892,00złZobacz aktualne oferty"
259,"Mieszkanie, Poznań, Rataje, 44 m²Stan: Innyzakończona18 December 2024 o godzinie 11:41:52456 220,00złZobacz aktualne oferty"
260,"Działka, Poznań, Morasko-Radojewo, 1222 m²Stan: Innyzakończona18 December 2024 o godzinie 11:13:05780 000,00złZobacz aktualne oferty"
261,"Mieszkanie, Poznań, Rataje, 63 m²Stan: Innyzakończona18 December 2024 o godzinie 10:28:14527 000,00złZobacz aktualne oferty"
262,"Mieszkanie, Poznań, 32 m²Stan: Innyzakończona18 December 2024 o godzinie 09:41:20359 000,00złZobacz aktualne oferty"
263,"Mieszkanie, Poznań, Grunwald, 49 m²Stan: Innyzakończona18 December 2024 o godzinie 08:02:39566 000,00złZobacz aktualne oferty"
264,"Mieszkanie, Poznań, Grunwald, 48 m²Stan: Innyzakończona18 December 2024 o godzinie 00:52:37430 000,00złZobacz aktualne oferty"
265,"Mieszkanie, Poznań, Grunwald, 40 m²Stan: Innyzakończona18 December 2024 o godzinie 00:11:28499 000,00złZobacz aktualne oferty"
266,"Mieszkanie, Poznań, Wilda, 66 m²Stan: Innyzakończona17 December 2024 o godzinie 23:43:28459 000,00złZobacz aktualne oferty"
267,"Działka, Poznań, Morasko-Radojewo, 1800 m²Stan: Innyzakończona17 December 2024 o godzinie 23:43:27628 000,00złZobacz aktualne oferty"
268,"Mieszkanie, Poznań, Grunwald, 49 m²Stan: Innyzakończona17 December 2024 o godzinie 23:28:46465 000,00złZobacz aktualne oferty"
269,"Mieszkanie, Poznań, Jeżyce, 59 m²Stan: Innyzakończona17 December 2024 o godzinie 22:37:30823 500,00złZobacz aktualne oferty"
270,"Mieszkanie, Poznań, Stare Miasto, 65 m²Stan: Innyzakończona17 December 2024 o godzinie 19:25:17799 000,00złZobacz aktualne oferty"
271,"Komercyjne, Poznań, Winogrady, 103 m²Stan: Innyzakończona17 December 2024 o godzinie 18:53:591 104 000,00złZobacz aktualne oferty"
272,"Biuro, Poznań, Winogrady, 152 m²Stan: Innyzakończona17 December 2024 o godzinie 18:53:561 504 000,00złZobacz aktualne oferty"
273,"Mieszkanie, Poznań, Wilda, 87 m²Stan: Innyzakończona17 December 2024 o godzinie 18:07:171 050 000,00złZobacz aktualne oferty"
274,"Mieszkanie, Poznań, Wilda, 69 m²Stan: Innyzakończona17 December 2024 o godzinie 18:06:56720 000,00złZobacz aktualne oferty"
275,"Dom, Poznań, Wilda, 150 m²Stan: Innyzakończona17 December 2024 o godzinie 13:55:50799 000,00złZobacz aktualne oferty"
276,"Mieszkanie, Poznań, Rataje, 46 m²Stan: Innyzakończona17 December 2024 o godzinie 13:22:35459 000,00złZobacz aktualne oferty"
277,"Mieszkanie, Poznań, Łazarz, 43 m²Stan: Innyzakończona17 December 2024 o godzinie 13:04:202350,00złZobacz aktualne oferty"
278,"Dom, Poznań, Naramowice, 223 m²Stan: Innyzakończona17 December 2024 o godzinie 12:23:571 750 000,00złZobacz aktualne oferty"
279,"Dom, Poznań, Podolany, 214 m²Stan: Innyzakończona17 December 2024 o godzinie 11:38:522 590 000,00złZobacz aktualne oferty"
280,"Magazyny i hale, Poznań, Jeżyce, 252 m²Stan: Innyzakończona17 December 2024 o godzinie 11:24:017000,00złZobacz aktualne oferty"
281,"Dom, Poznań, Naramowice, 210 m²Stan: Innyzakończona17 December 2024 o godzinie 10:27:061 350 000,00złZobacz aktualne oferty"
282,"Mieszkanie, Poznań, Grunwald, 39 m²Stan: Innyzakończona17 December 2024 o godzinie 10:09:19560 000,00złZobacz aktualne oferty"
283,"Mieszkanie, Poznań, Jeżyce, 66 m²Stan: Innyzakończona17 December 2024 o godzinie 10:08:43819 000,00złZobacz aktualne oferty"
284,"Mieszkanie, Poznań, Podolany, 48 m²Stan: Innyzakończona17 December 2024 o godzinie 10:08:35800 000,00złZobacz aktualne oferty"
285,"Mieszkanie, Poznań, Sołacz, 29 m²Stan: Innyzakończona17 December 2024 o godzinie 01:47:57329 000,00złZobacz aktualne oferty"
286,"Dom, Poznań, Jeżyce, 246 m²Stan: Innyzakończona17 December 2024 o godzinie 00:26:341 485 000,00złZobacz aktualne oferty"
287,"Mieszkanie, Poznań, Stare Miasto, 30 m²Stan: Innyzakończona17 December 2024 o godzinie 00:01:14350 000,00złZobacz aktualne oferty"
288,"Mieszkanie, Poznań, Stare Miasto, 30 m²Stan: Innyzakończona17 December 2024 o godzinie 00:01:13330 000,00złZobacz aktualne oferty"
289,"Mieszkanie, Poznań, Stare Miasto, 32 m²Stan: Innyzakończona17 December 2024 o godzinie 00:01:12340 000,00złZobacz aktualne oferty"
290,"Mieszkanie, Poznań, 69 m²Stan: Innyzakończona16 December 2024 o godzinie 17:32:583700,00złZobacz aktualne oferty"
291,"Mieszkanie, Poznań, Piątkowo, 67 m²Stan: Innyzakończona16 December 2024 o godzinie 17:32:512700,00złZobacz aktualne oferty"
292,"Mieszkanie, Poznań, Nowe Miasto, 41 m²Stan: Innyzakończona16 December 2024 o godzinie 16:27:142750,00złZobacz aktualne oferty"
293,"Magazyny i hale, Poznań, 20000 m²Stan: Innyzakończona16 December 2024 o godzinie 16:06:3011 000 000,00złZobacz aktualne oferty"
294,"Dom, Poznań, Junikowo, 175 m²Stan: Innyzakończona16 December 2024 o godzinie 15:16:081 099 000,00złZobacz aktualne oferty"
295,"Mieszkanie, Poznań, Górczyn, 30 m²Stan: Innyzakończona16 December 2024 o godzinie 15:15:031850,00złZobacz aktualne oferty"
296,"Magazyny i hale, Poznań, 3700 m²Stan: Innyzakończona16 December 2024 o godzinie 14:23:0056 876,00złZobacz aktualne oferty"
297,"Mieszkanie, Poznań, Rataje, 52 m²Stan: Innyzakończona16 December 2024 o godzinie 14:07:09699 000,00złZobacz aktualne oferty"
298,"Mieszkanie, Poznań, Stare Miasto, 36 m²Stan: Innyzakończona16 December 2024 o godzinie 13:05:552210,00złZobacz aktualne oferty"
299,"Mieszkanie, Poznań, Stare Miasto, 42 m²Stan: Innyzakończona16 December 2024 o godzinie 13:05:532665,00złZobacz aktualne oferty"
300,"Mieszkanie, Poznań, Grunwald, 34 m²Stan: Innyzakończona16 December 2024 o godzinie 12:58:492900,00złZobacz aktualne oferty"
301,"Działka, Poznań, Jeżyce, 1160 m²Stan: Innyzakończona16 December 2024 o godzinie 12:35:451 300 000,00złZobacz aktualne oferty"
302,"Dom, Poznań, Grunwald, 263 m²Stan: Innyzakończona16 December 2024 o godzinie 12:35:151 199 000,00złZobacz aktualne oferty"
303,"Dom, Poznań, 154 m²Stan: Innyzakończona16 December 2024 o godzinie 11:46:42990 000,00złZobacz aktualne oferty"
304,"Mieszkanie, Poznań, Wilda, 50 m²Stan: Innyzakończona16 December 2024 o godzinie 11:32:22485 000,00złZobacz aktualne oferty"
305,"Mieszkanie, Poznań, 68 m²Stan: Innyzakończona16 December 2024 o godzinie 10:43:13784 000,00złZobacz aktualne oferty"
306,"Mieszkanie, Poznań, Jeżyce, 53 m²Stan: Innyzakończona16 December 2024 o godzinie 10:43:11780 000,00złZobacz aktualne oferty"
307,"Mieszkanie, Poznań, Grunwald, 27 m²Stan: Innyzakończona16 December 2024 o godzinie 10:25:171650,00złZobacz aktualne oferty"
308,"Mieszkanie, Poznań, Górczyn, 68 m²Stan: Innyzakończona16 December 2024 o godzinie 00:44:05750 530,00złZobacz aktualne oferty"
309,"Mieszkanie, Poznań, Stare Miasto, 60 m²Stan: Innyzakończona15 December 2024 o godzinie 22:45:093000,00złZobacz aktualne oferty"
310,"Mieszkanie, Poznań, Dębiec, 58 m²Stan: Innyzakończona15 December 2024 o godzinie 19:18:33499 000,00złZobacz aktualne oferty"
311,"Mieszkanie, Poznań, Ogrody, 21 m²Stan: Innyzakończona15 December 2024 o godzinie 18:54:09299 000,00złZobacz aktualne oferty"
312,"Mieszkanie, Poznań, Łazarz, 64 m²Stan: Innyzakończona15 December 2024 o godzinie 18:39:42579 000,00złZobacz aktualne oferty"
313,"Mieszkanie, Poznań, Stare Miasto, 62 m²Stan: Innyzakończona15 December 2024 o godzinie 10:09:04739 000,00złZobacz aktualne oferty"
314,"Mieszkanie, Poznań, Grunwald, 97 m²Stan: Innyzakończona15 December 2024 o godzinie 00:33:383000,00złZobacz aktualne oferty"
315,"Mieszkanie, Poznań, Piątkowo, 70 m²Stan: Innyzakończona15 December 2024 o godzinie 00:00:17649 000,00złZobacz aktualne oferty"
316,"Działka, Poznań, Wilda, 869 m²Stan: Innyzakończona14 December 2024 o godzinie 22:34:333 900 000,00złZobacz aktualne oferty"
317,"Dom, Poznań, 544 m²Stan: Innyzakończona14 December 2024 o godzinie 21:03:213 749 000,00złZobacz aktualne oferty"
318,"Mieszkanie, Poznań, 44 m²Stan: Innyzakończona14 December 2024 o godzinie 18:42:57527 000,00złZobacz aktualne oferty"
319,"Mieszkanie, Poznań, Naramowice, 28 m²Stan: Innyzakończona14 December 2024 o godzinie 16:49:29317 300,00złZobacz aktualne oferty"
320,"Mieszkanie, Poznań, Naramowice, 54 m²Stan: Innyzakończona14 December 2024 o godzinie 16:19:17601 143,00złZobacz aktualne oferty"
321,"Mieszkanie, Poznań, Naramowice, 53 m²Stan: Innyzakończona14 December 2024 o godzinie 16:19:13596 195,00złZobacz aktualne oferty"
322,"Mieszkanie, Poznań, Rataje, 41 m²Stan: Innyzakończona14 December 2024 o godzinie 16:19:10429 383,00złZobacz aktualne oferty"
323,"Mieszkanie, Poznań, Rataje, 42 m²Stan: Innyzakończona14 December 2024 o godzinie 16:19:07437 255,00złZobacz aktualne oferty"
324,"Mieszkanie, Poznań, Naramowice, 34 m²Stan: Innyzakończona14 December 2024 o godzinie 16:18:59433 668,00złZobacz aktualne oferty"
325,"Mieszkanie, Poznań, Naramowice, 43 m²Stan: Innyzakończona14 December 2024 o godzinie 16:18:56469 779,00złZobacz aktualne oferty"
326,"Mieszkanie, Poznań, Naramowice, 41 m²Stan: Innyzakończona14 December 2024 o godzinie 16:18:55468 844,00złZobacz aktualne oferty"
327,"Mieszkanie, Poznań, Rataje, 43 m²Stan: Innyzakończona14 December 2024 o godzinie 16:18:53438 445,00złZobacz aktualne oferty"
328,"Mieszkanie, Poznań, Rataje, 39 m²Stan: Innyzakończona14 December 2024 o godzinie 16:18:42422 513,00złZobacz aktualne oferty"
329,"Mieszkanie, Poznań, Rataje, 52 m²Stan: Innyzakończona14 December 2024 o godzinie 16:18:37507 260,00złZobacz aktualne oferty"
330,"Mieszkanie, Poznań, Naramowice, 28 m²Stan: Innyzakończona14 December 2024 o godzinie 15:52:54359 300,00złZobacz aktualne oferty"
331,"Mieszkanie, Poznań, Naramowice, 27 m²Stan: Innyzakończona14 December 2024 o godzinie 15:52:53342 000,00złZobacz aktualne oferty"
332,"Mieszkanie, Poznań, Grunwald, 32 m²Stan: Innyzakończona14 December 2024 o godzinie 15:28:26557 790,00złZobacz aktualne oferty"
333,"Mieszkanie, Poznań, Grunwald, 91 m²Stan: Innyzakończona14 December 2024 o godzinie 13:33:27956 445,00złZobacz aktualne oferty"
